Date,Time,Unit,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20
2025-08-07,19:14:30,C°,20.38,20.0,20.25,20.25,24.5,18.94,19.06,19.38,19.31,19.0,19.06,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:14:39,C°,20.38,20.0,20.25,20.19,24.5,18.94,19.06,19.38,19.38,19.0,19.19,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:14:48,C°,20.38,20.0,20.25,20.25,24.5,18.94,19.0,19.38,19.38,19.0,19.06,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:14:57,C°,20.38,20.0,20.25,20.25,24.5,18.94,19.06,19.38,19.38,19.06,19.19,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:15:06,C°,20.38,20.0,20.19,20.25,24.56,18.94,19.0,19.38,19.38,19.06,19.0,19.81,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:15:16,C°,20.31,20.0,20.25,20.19,24.5,18.94,19.0,19.38,19.38,19.06,19.19,19.81,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:15:25,C°,20.38,20.0,20.25,20.25,24.5,18.94,19.06,19.31,19.38,19.06,19.19,19.75,20.13,20.25,20.31,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:15:34,C°,20.38,20.0,20.25,20.25,24.44,18.94,19.0,19.38,19.38,19.0,19.13,19.81,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:15:43,C°,20.38,20.0,20.25,20.19,24.5,18.94,19.0,19.38,19.31,19.0,19.06,19.81,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:15:52,C°,20.38,20.0,20.25,20.25,24.5,18.94,19.06,19.38,19.38,19.06,19.0,19.81,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:16:01,C°,20.38,19.94,20.25,20.25,24.5,18.94,19.0,19.31,19.31,19.06,19.19,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:16:11,C°,20.38,20.0,20.19,20.19,24.5,19.0,19.06,19.38,19.31,19.06,19.06,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:16:20,C°,20.38,20.0,20.19,20.19,24.5,18.94,19.06,19.38,19.31,19.06,19.0,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:16:29,C°,20.38,20.0,20.25,20.19,24.5,18.94,19.0,19.31,19.38,19.06,19.19,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:16:38,C°,20.31,20.0,20.25,20.25,24.5,18.94,19.06,19.38,19.38,19.06,19.0,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:16:47,C°,20.31,20.0,20.25,20.19,24.5,19.0,19.0,19.38,19.38,19.06,19.19,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:16:56,C°,20.25,20.06,20.19,20.19,24.5,18.94,19.0,19.38,19.38,19.06,19.13,19.75,20.13,20.25,20.25,19.88,20.0,19.81,20.06,20.0
2025-08-07,19:17:06,C°,20.31,20.0,20.19,20.19,24.5,18.94,19.06,19.38,19.31,19.0,19.13,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:17:15,C°,20.25,20.0,20.25,20.19,24.5,18.94,19.0,19.38,19.31,19.06,19.19,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:17:24,C°,20.31,20.0,20.19,20.19,24.5,18.94,19.06,19.38,19.31,19.06,19.19,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:17:33,C°,20.31,20.0,20.19,20.19,24.5,18.94,19.06,19.38,19.38,19.06,19.19,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:17:42,C°,20.31,19.94,20.19,20.19,24.5,18.94,19.0,19.38,19.38,19.06,19.13,19.75,20.13,20.25,20.25,19.94,20.0,19.75,20.06,20.0
2025-08-07,19:17:52,C°,20.38,19.94,20.19,20.19,24.5,18.94,19.06,19.38,19.38,19.13,19.13,19.75,20.13,20.25,20.25,19.88,20.0,19.81,20.06,20.0
2025-08-07,19:18:01,C°,20.38,20.0,20.25,20.19,24.44,18.94,19.0,19.38,19.38,19.06,19.06,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,20.0
2025-08-07,19:18:10,C°,20.38,19.94,20.25,20.13,24.44,18.94,19.0,19.38,19.38,19.0,19.13,19.75,20.13,20.25,20.25,19.88,20.0,19.81,20.06,20.0
2025-08-07,19:18:19,C°,20.38,20.0,20.19,20.13,24.44,18.94,19.0,19.38,19.38,19.06,19.19,19.75,20.13,20.25,20.25,19.94,20.0,19.75,20.06,20.0
2025-08-07,19:18:28,C°,20.38,20.0,20.19,20.13,24.44,18.94,19.0,19.38,19.31,19.0,19.06,19.75,20.13,20.25,20.25,19.88,20.0,19.75,20.06,20.0
2025-08-07,19:18:37,C°,20.38,20.0,20.25,20.19,24.44,18.94,19.0,19.38,19.38,19.0,19.06,19.75,20.13,20.25,20.25,19.94,20.0,19.81,20.06,19.94
2025-08-07,19:18:47,C°,20.38,20.0,20.19,20.19,24.5,18.94,19.0,19.38,19.38,19.0,19.19,19.75,20.13,20.25,20.25,19.88,20.0,19.81,20.06,20.0
2025-08-07,19:18:56,C°,20.31,20.0,20.19,20.25,24.44,19.0,19.06,19.38,19.38,19.0,19.13,19.75,20.13,20.25,20.25,19.88,20.0,19.81,20.06,20.0
