Inicio: 2025-08-08 17:45:00;
2025-08-08,17:45:03, Unidad: C°,S1: 20.06, S2: 20.13, S3: 20.06, S4: 20.25, S5: 24.50, S6: 19.13, S7: 19.25, S8: 19.63, S9: 19.75, S10: 19.63, S11: 19.75, S12: 19.69, S13: 19.88, S14: 19.69, S15: 20.13, S16: 19.88, S17: 19.69, S18: 20.00, S19: 20.00, S20: 19.69.
2025-08-08,17:45:12, Unidad: C°,S1: 20.06, S2: 20.13, S3: 20.06, S4: 20.25, S5: 24.44, S6: 19.19, S7: 19.25, S8: 19.63, S9: 19.75, S10: 19.63, S11: 19.69, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.69, S18: 20.00, S19: 20.00, S20: 19.69.
2025-08-08,17:45:21, Unidad: C°,S1: 20.13, S2: 20.06, S3: 20.00, S4: 20.25, S5: 24.50, S6: 19.19, S7: 19.31, S8: 19.56, S9: 19.75, S10: 19.63, S11: 19.81, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.81, S17: 19.69, S18: 20.00, S19: 20.00, S20: 19.69.
2025-08-08,17:45:30, Unidad: C°,S1: 20.06, S2: 20.06, S3: 20.06, S4: 20.19, S5: 24.50, S6: 19.19, S7: 19.25, S8: 19.63, S9: 19.69, S10: 19.63, S11: 19.81, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.69, S18: 20.00, S19: 20.00, S20: 19.75.
2025-08-08,17:45:40, Unidad: C°,S1: 20.06, S2: 20.13, S3: 20.06, S4: 20.25, S5: 24.50, S6: 19.13, S7: 19.31, S8: 19.69, S9: 19.69, S10: 19.63, S11: 19.81, S12: 19.69, S13: 19.88, S14: 19.69, S15: 20.13, S16: 19.88, S17: 19.69, S18: 20.00, S19: 20.00, S20: 19.69.
2025-08-08,17:45:49, Unidad: C°,S1: 20.06, S2: 20.13, S3: 20.06, S4: 20.19, S5: 24.50, S6: 19.13, S7: 19.31, S8: 19.63, S9: 19.69, S10: 19.63, S11: 19.75, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.69, S18: 20.00, S19: 20.00, S20: 19.69.
2025-08-08,17:45:58, Unidad: C°,S1: 20.06, S2: 20.13, S3: 20.00, S4: 20.25, S5: 24.50, S6: 19.19, S7: 19.25, S8: 19.63, S9: 19.69, S10: 19.69, S11: 19.69, S12: 19.69, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.69, S18: 19.94, S19: 20.00, S20: 19.69.
2025-08-08,17:46:07, Unidad: C°,S1: 20.06, S2: 20.13, S3: 20.06, S4: 20.25, S5: 24.56, S6: 19.13, S7: 19.31, S8: 19.63, S9: 19.69, S10: 19.69, S11: 19.69, S12: 19.69, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.69, S18: 19.94, S19: 20.00, S20: 19.69.
2025-08-08,17:46:16, Unidad: C°,S1: 20.06, S2: 20.13, S3: 20.00, S4: 20.25, S5: 24.50, S6: 19.19, S7: 19.25, S8: 19.63, S9: 19.75, S10: 19.63, S11: 19.81, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.81, S17: 19.69, S18: 20.00, S19: 20.00, S20: 19.69.
2025-08-08,17:46:25, Unidad: C°,S1: 20.13, S2: 20.06, S3: 20.06, S4: 20.25, S5: 24.56, S6: 19.13, S7: 19.25, S8: 19.63, S9: 19.63, S10: 19.56, S11: 19.75, S12: 19.63, S13: 19.88, S14: 19.69, S15: 20.13, S16: 19.88, S17: 19.69, S18: 20.00, S19: 20.00, S20: 19.69.
2025-08-08,17:46:35, Unidad: C°,S1: 20.13, S2: 20.06, S3: 20.00, S4: 20.25, S5: 24.50, S6: 19.19, S7: 19.25, S8: 19.63, S9: 19.63, S10: 19.63, S11: 19.69, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.69, S18: 19.94, S19: 20.00, S20: 19.69.
2025-08-08,17:46:44, Unidad: C°,S1: 20.06, S2: 20.06, S3: 20.00, S4: 20.25, S5: 24.50, S6: 19.13, S7: 19.25, S8: 19.63, S9: 19.69, S10: 19.63, S11: 19.75, S12: 19.63, S13: 19.88, S14: 19.69, S15: 20.13, S16: 19.88, S17: 19.69, S18: 20.00, S19: 20.00, S20: 19.69.
2025-08-08,17:46:53, Unidad: C°,S1: 20.13, S2: 20.13, S3: 20.00, S4: 20.19, S5: 24.56, S6: 19.13, S7: 19.25, S8: 19.56, S9: 19.69, S10: 19.63, S11: 19.81, S12: 19.63, S13: 19.88, S14: 19.69, S15: 20.13, S16: 19.88, S17: 19.63, S18: 20.00, S19: 20.00, S20: 19.69.
2025-08-08,17:47:02, Unidad: C°,S1: 20.13, S2: 20.06, S3: 20.00, S4: 20.19, S5: 24.50, S6: 19.13, S7: 19.25, S8: 19.56, S9: 19.69, S10: 19.63, S11: 19.81, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.63, S18: 20.00, S19: 20.00, S20: 19.75.
2025-08-08,17:47:11, Unidad: C°,S1: 20.06, S2: 20.06, S3: 20.00, S4: 20.25, S5: 24.50, S6: 19.19, S7: 19.25, S8: 19.63, S9: 19.63, S10: 19.63, S11: 19.81, S12: 19.63, S13: 19.88, S14: 19.69, S15: 20.13, S16: 19.88, S17: 19.63, S18: 20.00, S19: 20.00, S20: 19.75.
2025-08-08,17:47:21, Unidad: C°,S1: 20.06, S2: 20.06, S3: 20.06, S4: 20.25, S5: 24.50, S6: 19.13, S7: 19.25, S8: 19.63, S9: 19.75, S10: 19.63, S11: 19.75, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.63, S18: 20.00, S19: 20.00, S20: 19.75.
2025-08-08,17:47:30, Unidad: C°,S1: 20.13, S2: 20.06, S3: 20.06, S4: 20.25, S5: 24.50, S6: 19.19, S7: 19.31, S8: 19.63, S9: 19.63, S10: 19.56, S11: 19.69, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.63, S18: 20.00, S19: 20.00, S20: 19.75.
2025-08-08,17:47:39, Unidad: C°,S1: 20.06, S2: 20.13, S3: 20.00, S4: 20.19, S5: 24.56, S6: 19.19, S7: 19.25, S8: 19.63, S9: 19.69, S10: 19.63, S11: 19.81, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.63, S18: 20.00, S19: 20.00, S20: 19.75.
2025-08-08,17:47:48, Unidad: C°,S1: 20.06, S2: 20.06, S3: 20.06, S4: 20.25, S5: 24.50, S6: 19.19, S7: 19.31, S8: 19.63, S9: 19.69, S10: 19.56, S11: 19.81, S12: 19.63, S13: 19.88, S14: 19.69, S15: 20.13, S16: 19.88, S17: 19.63, S18: 19.94, S19: 20.00, S20: 19.75.
2025-08-08,17:47:57, Unidad: C°,S1: 20.13, S2: 20.06, S3: 20.06, S4: 20.25, S5: 24.50, S6: 19.19, S7: 19.25, S8: 19.69, S9: 19.63, S10: 19.63, S11: 19.81, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.63, S18: 20.00, S19: 20.00, S20: 19.75.
2025-08-08,17:48:06, Unidad: C°,S1: 20.13, S2: 20.13, S3: 20.06, S4: 20.25, S5: 24.50, S6: 19.19, S7: 19.25, S8: 19.63, S9: 19.69, S10: 19.63, S11: 19.75, S12: 19.63, S13: 19.81, S14: 19.69, S15: 20.13, S16: 19.88, S17: 19.63, S18: 19.94, S19: 20.00, S20: 19.75.
2025-08-08,17:48:16, Unidad: C°,S1: 20.06, S2: 20.06, S3: 20.00, S4: 20.25, S5: 24.44, S6: 19.13, S7: 19.31, S8: 19.56, S9: 19.69, S10: 19.63, S11: 19.69, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.63, S18: 19.94, S19: 20.00, S20: 19.75.
2025-08-08,17:48:25, Unidad: C°,S1: 20.06, S2: 20.06, S3: 20.00, S4: 20.25, S5: 24.44, S6: 19.19, S7: 19.31, S8: 19.56, S9: 19.69, S10: 19.63, S11: 19.75, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.63, S18: 19.94, S19: 20.00, S20: 19.75.
2025-08-08,17:48:34, Unidad: C°,S1: 20.00, S2: 20.06, S3: 20.00, S4: 20.25, S5: 24.38, S6: 19.13, S7: 19.25, S8: 19.63, S9: 19.69, S10: 19.63, S11: 19.81, S12: 19.63, S13: 19.88, S14: 19.75, S15: 20.13, S16: 19.88, S17: 19.63, S18: 20.00, S19: 20.00, S20: 19.75.
