Inicio de registro: 2025-08-07 17:30:00
2025-08-07,19:14:30, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.25, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:14:39, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:14:48, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.25, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:14:57, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.25, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:15:06, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.19, S4: 20.25, S5: 24.56, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.00, S12: 19.81, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:15:16, Unidad: C°,S1: 20.31, S2: 20.00, S3: 20.25, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.81, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:15:25, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.25, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.31, S9: 19.38, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.31, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:15:34, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.25, S5: 24.44, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.38, S10: 19.00, S11: 19.13, S12: 19.81, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:15:43, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.38, S9: 19.31, S10: 19.00, S11: 19.06, S12: 19.81, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:15:52, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.25, S4: 20.25, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.38, S10: 19.06, S11: 19.00, S12: 19.81, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:16:01, Unidad: C°,S1: 20.38, S2: 19.94, S3: 20.25, S4: 20.25, S5: 24.50, S6: 18.94, S7: 19.00, S8: 19.31, S9: 19.31, S10: 19.06, S11: 19.19, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:16:11, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.19, S4: 20.19, S5: 24.50, S6: 19.00, S7: 19.06, S8: 19.38, S9: 19.31, S10: 19.06, S11: 19.06, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
2025-08-07,19:16:20, Unidad: C°,S1: 20.38, S2: 20.00, S3: 20.19, S4: 20.19, S5: 24.50, S6: 18.94, S7: 19.06, S8: 19.38, S9: 19.31, S10: 19.06, S11: 19.00, S12: 19.75, S13: 20.13, S14: 20.25, S15: 20.25, S16: 19.94, S17: 20.00, S18: 19.81, S19: 20.06, S20: 20.00.
